ObservationId,UnitId,ZoneId,CategoryId,Date,Time,Observation,Recommendation,Remarks,RiskRating,StatusId,is_highlight,Image
OBS-0011,2,3,10,2025-05-22,08:34,Emergency assembly point signage obscured by stored materials,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Reported by shift supervisor,Medium,1,0,IMG_0011.jpg
OBS-0012,7,15,7,2024-11-16,16:44,Improper disposal of chemical waste observed near drain,Label and segregate immediately. Conduct chemical inventory audit for this zone.,Logged during scheduled safety walk,Medium,2,0,IMG_0012.jpg
OBS-0013,5,11,1,2024-10-26,06:51,PPE not worn correctly — safety glasses missing at point of operation,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Logged during scheduled safety walk,Medium,3,0,IMG_0013.jpg
OBS-0014,2,3,4,2025-04-17,17:20,Pump coupling guard missing during active equipment operation,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,High,2,1,IMG_0014.jpg
OBS-0015,7,15,3,2024-11-13,08:15,Electrical panel door left open and unattended in live area,Isolate circuit immediately. No re-energization until inspected and cleared by qualified electrician.,Reported by shift supervisor,Medium,1,0,IMG_0015.jpg
OBS-0016,4,9,10,2025-02-05,15:25,Emergency assembly point signage obscured by stored materials,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Logged during scheduled safety walk,Medium,2,0,IMG_0016.jpg
OBS-0017,8,17,8,2024-08-16,18:03,Safety interlock bypassed without management of change approval,Restore interlock to operational state. Initiate full management of change process.,Logged during scheduled safety walk,High,4,0,IMG_0017.jpg
OBS-0018,7,14,10,2024-08-02,12:24,First aid kit contents found expired during routine check,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Logged during scheduled safety walk,Low,3,0,IMG_0018.jpg
OBS-0019,8,17,5,2025-04-10,06:43,Hot work permit expired before task completion,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Reported by shift supervisor,Medium,1,0,IMG_0019.jpg
OBS-0020,8,18,5,2025-05-25,11:07,Fire extinguisher obstructed — not accessible within 5 seconds,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Medium,2,0,IMG_0020.jpg
OBS-0021,7,15,1,2024-11-12,14:48,No high-visibility vest during vehicle movement area crossing,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Reported by shift supervisor,High,2,1,IMG_0021.jpg
OBS-0022,5,10,9,2025-05-08,09:09,Stack emission visibly abnormal — not reported to control room,Contain and isolate. Initiate environmental incident protocol and report to HSE officer.,Logged during scheduled safety walk,Critical,4,1,IMG_0022.jpg
OBS-0023,1,1,10,2024-12-13,13:01,First aid kit contents found expired during routine check,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Logged during scheduled safety walk,Medium,2,0,IMG_0023.jpg
OBS-0024,5,10,4,2024-07-30,09:56,Pressure relief valve past scheduled inspection date,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,Medium,2,0,IMG_0024.jpg
OBS-0025,2,3,8,2024-08-05,18:34,Safety interlock bypassed without management of change approval,Restore interlock to operational state. Initiate full management of change process.,Reported by shift supervisor,Medium,2,0,IMG_0025.jpg
OBS-0026,7,16,9,2024-09-23,10:33,Solid waste disposed in non-designated area near bund,Contain and isolate. Initiate environmental incident protocol and report to HSE officer.,Reported by shift supervisor,Low,3,0,IMG_0026.jpg
OBS-0027,3,7,9,2025-06-19,09:45,Stack emission visibly abnormal — not reported to control room,Contain and isolate. Initiate environmental incident protocol and report to HSE officer.,Logged during scheduled safety walk,Low,3,0,IMG_0027.jpg
OBS-0028,6,12,8,2025-03-22,13:07,Safety interlock bypassed without management of change approval,Restore interlock to operational state. Initiate full management of change process.,Logged during scheduled safety walk,Medium,4,0,IMG_0028.jpg
OBS-0029,5,11,1,2025-04-28,14:14,No high-visibility vest during vehicle movement area crossing,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Logged during scheduled safety walk,High,1,1,IMG_0029.jpg
OBS-0030,1,2,4,2024-08-04,06:55,Corroded bolts observed on critical flange joint,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,Critical,2,1,IMG_0030.jpg
OBS-0031,7,16,4,2025-04-03,08:46,Pump coupling guard missing during active equipment operation,Raise work order for immediate inspection. Take equipment out of service if required.,Reported by shift supervisor,Medium,2,0,IMG_0031.jpg
OBS-0032,8,19,8,2024-11-02,18:30,Safety interlock bypassed without management of change approval,Restore interlock to operational state. Initiate full management of change process.,Reported by shift supervisor,Low,2,0,IMG_0032.jpg
OBS-0033,2,4,2,2025-06-03,12:22,Waste accumulated near emergency exit — blocking egress route,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Logged during scheduled safety walk,Medium,2,0,IMG_0033.jpg
OBS-0034,1,2,2,2024-08-01,12:46,Oil spill on walkway not cleaned within acceptable timeframe,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Reported by shift supervisor,High,3,1,IMG_0034.jpg
OBS-0035,3,7,4,2025-04-01,13:08,Pressure relief valve past scheduled inspection date,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,High,4,1,IMG_0035.jpg
OBS-0036,2,3,8,2025-04-08,07:03,Process deviation not logged within required timeframe,Restore interlock to operational state. Initiate full management of change process.,Logged during scheduled safety walk,Low,2,0,IMG_0036.jpg
OBS-0037,1,1,2,2024-10-30,08:26,Waste accumulated near emergency exit — blocking egress route,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Logged during scheduled safety walk,Critical,3,1,IMG_0037.jpg
OBS-0038,1,2,3,2025-01-11,06:24,Temporary cable crossing walkway without appropriate protection,Isolate circuit immediately. No re-energization until inspected and cleared by qualified electrician.,Logged during scheduled safety walk,Low,2,0,IMG_0038.jpg
OBS-0039,5,10,7,2025-06-22,17:50,Improper disposal of chemical waste observed near drain,Label and segregate immediately. Conduct chemical inventory audit for this zone.,Logged during scheduled safety walk,Low,1,0,IMG_0039.jpg
OBS-0040,7,16,3,2024-10-06,10:13,Electrical panel door left open and unattended in live area,Isolate circuit immediately. No re-energization until inspected and cleared by qualified electrician.,Reported by shift supervisor,Medium,1,0,IMG_0040.jpg
OBS-0041,8,18,1,2024-12-08,06:03,No high-visibility vest during vehicle movement area crossing,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Logged during scheduled safety walk,Low,2,0,IMG_0041.jpg
OBS-0042,8,17,3,2024-07-30,14:05,Exposed wiring on junction box — protective covers missing,Isolate circuit immediately. No re-energization until inspected and cleared by qualified electrician.,Reported by shift supervisor,Medium,1,0,IMG_0042.jpg
OBS-0043,2,3,4,2025-01-23,07:56,Pump coupling guard missing during active equipment operation,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,Medium,2,0,IMG_0043.jpg
OBS-0044,1,2,10,2024-08-11,12:42,Emergency contact list outdated on safety notice board,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Logged during scheduled safety walk,Low,2,0,IMG_0044.jpg
OBS-0045,5,11,5,2024-10-13,16:45,Smoke detector coverage gap identified in storage room,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Low,2,0,IMG_0045.jpg
OBS-0046,6,13,3,2025-06-09,16:19,Exposed wiring on junction box — protective covers missing,Isolate circuit immediately. No re-energization until inspected and cleared by qualified electrician.,Reported by shift supervisor,High,3,1,IMG_0046.jpg
OBS-0047,1,1,8,2025-05-15,15:06,Safety interlock bypassed without management of change approval,Restore interlock to operational state. Initiate full management of change process.,Logged during scheduled safety walk,Low,2,0,IMG_0047.jpg
OBS-0048,8,17,5,2024-09-06,11:56,Fire extinguisher obstructed — not accessible within 5 seconds,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Low,2,0,IMG_0048.jpg
OBS-0049,6,12,5,2024-09-19,13:53,Smoke detector coverage gap identified in storage room,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Medium,2,0,IMG_0049.jpg
OBS-0050,8,17,1,2025-06-07,14:19,Worker observed without safety helmet in designated hard hat area,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Logged during scheduled safety walk,Critical,1,0,IMG_0050.jpg
OBS-0051,4,9,2,2024-08-24,17:35,Oil spill on walkway not cleaned within acceptable timeframe,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Logged during scheduled safety walk,Critical,2,1,IMG_0051.jpg
OBS-0052,5,11,4,2025-06-17,16:54,Corroded bolts observed on critical flange joint,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,Medium,2,0,IMG_0052.jpg
OBS-0053,4,9,1,2024-08-17,16:27,Worker observed without safety helmet in designated hard hat area,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Reported by shift supervisor,Low,2,0,IMG_0053.jpg
OBS-0054,1,1,6,2024-09-05,16:16,Scaffolding toe board missing on third level platform,Issue stop-work order. Provide and verify proper fall protection before resuming at height.,Logged during scheduled safety walk,Medium,3,0,IMG_0054.jpg
OBS-0055,8,18,7,2025-04-14,06:07,Chemical container unlabeled in secondary storage area,Label and segregate immediately. Conduct chemical inventory audit for this zone.,Reported by shift supervisor,High,1,1,IMG_0055.jpg
OBS-0056,8,18,1,2025-01-06,15:35,Worker observed without safety helmet in designated hard hat area,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Logged during scheduled safety walk,Medium,2,0,IMG_0056.jpg
OBS-0057,1,2,5,2025-01-03,18:55,Smoke detector coverage gap identified in storage room,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Low,3,0,IMG_0057.jpg
OBS-0058,3,7,4,2025-06-07,07:22,Corroded bolts observed on critical flange joint,Raise work order for immediate inspection. Take equipment out of service if required.,Reported by shift supervisor,Medium,3,0,IMG_0058.jpg
OBS-0059,2,5,4,2024-09-22,18:51,Corroded bolts observed on critical flange joint,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,Low,2,0,IMG_0059.jpg
OBS-0060,1,1,3,2024-12-18,18:59,Electrical panel door left open and unattended in live area,Isolate circuit immediately. No re-energization until inspected and cleared by qualified electrician.,Logged during scheduled safety walk,Low,2,0,IMG_0060.jpg
OBS-0061,4,8,5,2024-09-20,18:44,Fire extinguisher obstructed — not accessible within 5 seconds,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Low,3,0,IMG_0061.jpg
OBS-0062,7,16,4,2024-10-11,13:22,Pressure relief valve past scheduled inspection date,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,Medium,1,0,IMG_0062.jpg
OBS-0063,4,8,1,2025-06-03,09:25,PPE not worn correctly — safety glasses missing at point of operation,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Reported by shift supervisor,High,2,1,IMG_0063.jpg
OBS-0064,6,12,9,2025-01-21,16:53,Minor hydrocarbon sheen observed near stormwater drain,Contain and isolate. Initiate environmental incident protocol and report to HSE officer.,Logged during scheduled safety walk,Low,3,0,IMG_0064.jpg
OBS-0065,2,4,5,2024-09-30,15:16,Smoke detector coverage gap identified in storage room,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Critical,2,1,IMG_0065.jpg
OBS-0066,5,11,7,2025-05-07,14:07,Improper disposal of chemical waste observed near drain,Label and segregate immediately. Conduct chemical inventory audit for this zone.,Logged during scheduled safety walk,Medium,2,0,IMG_0066.jpg
OBS-0067,3,7,5,2024-07-23,17:27,Hot work permit expired before task completion,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Reported by shift supervisor,High,2,1,IMG_0067.jpg
OBS-0068,3,7,6,2025-02-06,07:42,Ladder used beyond rated height without secondary anchor point,Issue stop-work order. Provide and verify proper fall protection before resuming at height.,Reported by shift supervisor,Low,2,0,IMG_0068.jpg
OBS-0069,5,11,2,2024-12-01,14:19,Waste accumulated near emergency exit — blocking egress route,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Logged during scheduled safety walk,Medium,2,0,IMG_0069.jpg
OBS-0070,6,13,5,2025-04-10,08:12,Smoke detector coverage gap identified in storage room,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Medium,4,0,IMG_0070.jpg
OBS-0071,3,6,10,2025-04-18,10:25,Emergency assembly point signage obscured by stored materials,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Logged during scheduled safety walk,Low,2,0,IMG_0071.jpg
OBS-0072,5,10,5,2024-10-16,12:50,Hot work permit expired before task completion,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Medium,2,0,IMG_0072.jpg
OBS-0073,5,11,8,2025-02-12,13:43,Equipment operating beyond design pressure limits,Restore interlock to operational state. Initiate full management of change process.,Logged during scheduled safety walk,Medium,1,0,IMG_0073.jpg
OBS-0074,3,6,2,2024-11-23,14:42,Waste accumulated near emergency exit — blocking egress route,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Logged during scheduled safety walk,Medium,2,0,IMG_0074.jpg
OBS-0075,2,3,4,2025-06-10,10:14,Pressure relief valve past scheduled inspection date,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,High,1,0,IMG_0075.jpg
OBS-0076,4,8,8,2025-05-09,18:04,Process deviation not logged within required timeframe,Restore interlock to operational state. Initiate full management of change process.,Logged during scheduled safety walk,Low,2,0,IMG_0076.jpg
OBS-0077,8,19,4,2025-06-22,12:31,Pump coupling guard missing during active equipment operation,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,High,2,1,IMG_0077.jpg
OBS-0078,1,1,2,2025-02-03,09:11,Tools left unsecured on elevated platform above active work area,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Reported by shift supervisor,Low,2,0,IMG_0078.jpg
OBS-0079,8,17,8,2024-07-26,14:15,Safety interlock bypassed without management of change approval,Restore interlock to operational state. Initiate full management of change process.,Reported by shift supervisor,Medium,3,0,IMG_0079.jpg
OBS-0080,7,15,3,2025-02-23,16:33,Temporary cable crossing walkway without appropriate protection,Isolate circuit immediately. No re-energization until inspected and cleared by qualified electrician.,Logged during scheduled safety walk,High,3,0,IMG_0080.jpg
OBS-0081,8,17,7,2025-04-07,13:57,SDS not available at point of use for newly introduced chemical,Label and segregate immediately. Conduct chemical inventory audit for this zone.,Logged during scheduled safety walk,Medium,2,0,IMG_0081.jpg
OBS-0082,7,15,5,2024-11-04,16:17,Hot work permit expired before task completion,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Reported by shift supervisor,Medium,2,0,IMG_0082.jpg
OBS-0083,7,16,4,2024-11-18,13:04,Corroded bolts observed on critical flange joint,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,High,3,0,IMG_0083.jpg
OBS-0084,5,11,9,2024-08-11,08:09,Stack emission visibly abnormal — not reported to control room,Contain and isolate. Initiate environmental incident protocol and report to HSE officer.,Logged during scheduled safety walk,Medium,2,0,IMG_0084.jpg
OBS-0085,2,5,4,2024-08-02,12:26,Pressure relief valve past scheduled inspection date,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,Critical,2,1,IMG_0085.jpg
OBS-0086,3,7,7,2025-01-16,18:37,Chemical container unlabeled in secondary storage area,Label and segregate immediately. Conduct chemical inventory audit for this zone.,Reported by shift supervisor,Medium,1,0,IMG_0086.jpg
OBS-0087,8,19,7,2025-03-02,06:22,SDS not available at point of use for newly introduced chemical,Label and segregate immediately. Conduct chemical inventory audit for this zone.,Logged during scheduled safety walk,Medium,2,0,IMG_0087.jpg
OBS-0088,7,14,9,2025-04-06,18:38,Solid waste disposed in non-designated area near bund,Contain and isolate. Initiate environmental incident protocol and report to HSE officer.,Reported by shift supervisor,Medium,2,0,IMG_0088.jpg
OBS-0089,4,8,5,2025-02-09,13:01,Hot work permit expired before task completion,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Medium,2,0,IMG_0089.jpg
OBS-0090,6,13,3,2025-02-25,08:39,Temporary cable crossing walkway without appropriate protection,Isolate circuit immediately. No re-energization until inspected and cleared by qualified electrician.,Logged during scheduled safety walk,Low,1,0,IMG_0090.jpg
OBS-0091,8,19,10,2025-06-05,06:05,Emergency assembly point signage obscured by stored materials,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Logged during scheduled safety walk,Medium,1,0,IMG_0091.jpg
OBS-0092,7,15,3,2024-07-26,10:24,Temporary cable crossing walkway without appropriate protection,Isolate circuit immediately. No re-energization until inspected and cleared by qualified electrician.,Logged during scheduled safety walk,Low,3,0,IMG_0092.jpg
OBS-0093,5,11,6,2025-01-11,10:48,Scaffolding toe board missing on third level platform,Issue stop-work order. Provide and verify proper fall protection before resuming at height.,Reported by shift supervisor,Medium,2,0,IMG_0093.jpg
OBS-0094,4,9,2,2025-02-26,06:47,Waste accumulated near emergency exit — blocking egress route,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Logged during scheduled safety walk,Low,2,0,IMG_0094.jpg
OBS-0095,4,8,2,2025-05-30,06:48,Oil spill on walkway not cleaned within acceptable timeframe,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Logged during scheduled safety walk,Medium,2,0,IMG_0095.jpg
OBS-0096,3,7,1,2025-05-15,08:15,No high-visibility vest during vehicle movement area crossing,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Logged during scheduled safety walk,High,3,1,IMG_0096.jpg
OBS-0097,3,7,8,2025-06-24,10:49,Process deviation not logged within required timeframe,Restore interlock to operational state. Initiate full management of change process.,Logged during scheduled safety walk,Low,2,0,IMG_0097.jpg
OBS-0098,2,4,3,2024-12-07,07:37,Temporary cable crossing walkway without appropriate protection,Isolate circuit immediately. No re-energization until inspected and cleared by qualified electrician.,Logged during scheduled safety walk,Medium,2,0,IMG_0098.jpg
OBS-0099,8,19,7,2025-01-20,17:12,Improper disposal of chemical waste observed near drain,Label and segregate immediately. Conduct chemical inventory audit for this zone.,Logged during scheduled safety walk,Low,3,0,IMG_0099.jpg
OBS-0100,4,8,2,2025-06-22,18:19,Tools left unsecured on elevated platform above active work area,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Reported by shift supervisor,Low,3,0,IMG_0100.jpg
OBS-0101,2,4,10,2024-07-22,11:34,First aid kit contents found expired during routine check,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Logged during scheduled safety walk,Medium,1,0,IMG_0101.jpg
OBS-0102,2,3,9,2025-05-28,11:00,Minor hydrocarbon sheen observed near stormwater drain,Contain and isolate. Initiate environmental incident protocol and report to HSE officer.,Reported by shift supervisor,High,3,0,IMG_0102.jpg
OBS-0103,7,14,6,2025-05-22,13:45,Worker observed at height without full body harness,Issue stop-work order. Provide and verify proper fall protection before resuming at height.,Logged during scheduled safety walk,Medium,1,0,IMG_0103.jpg
OBS-0104,8,17,5,2025-05-12,18:58,Smoke detector coverage gap identified in storage room,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,High,2,1,IMG_0104.jpg
OBS-0105,8,19,5,2024-12-13,09:53,Smoke detector coverage gap identified in storage room,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Critical,1,0,IMG_0105.jpg
OBS-0106,4,8,8,2025-04-18,15:42,Safety interlock bypassed without management of change approval,Restore interlock to operational state. Initiate full management of change process.,Logged during scheduled safety walk,Medium,2,0,IMG_0106.jpg
OBS-0107,7,16,6,2024-10-02,13:13,Scaffolding toe board missing on third level platform,Issue stop-work order. Provide and verify proper fall protection before resuming at height.,Logged during scheduled safety walk,Medium,2,0,IMG_0107.jpg
OBS-0108,5,11,5,2025-05-02,17:56,Fire extinguisher obstructed — not accessible within 5 seconds,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Low,2,0,IMG_0108.jpg
OBS-0109,8,17,4,2024-08-13,09:46,Pump coupling guard missing during active equipment operation,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,Medium,2,0,IMG_0109.jpg
OBS-0110,4,8,8,2025-05-27,17:31,Safety interlock bypassed without management of change approval,Restore interlock to operational state. Initiate full management of change process.,Logged during scheduled safety walk,Medium,3,0,IMG_0110.jpg
OBS-0111,2,3,5,2024-10-22,12:44,Hot work permit expired before task completion,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Medium,2,0,IMG_0111.jpg
OBS-0112,8,19,6,2025-02-28,14:33,Ladder used beyond rated height without secondary anchor point,Issue stop-work order. Provide and verify proper fall protection before resuming at height.,Reported by shift supervisor,High,2,1,IMG_0112.jpg
OBS-0113,5,11,6,2025-06-25,13:17,Worker observed at height without full body harness,Issue stop-work order. Provide and verify proper fall protection before resuming at height.,Logged during scheduled safety walk,Medium,2,0,IMG_0113.jpg
OBS-0114,2,4,4,2024-12-09,07:47,Pump coupling guard missing during active equipment operation,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,Low,2,0,IMG_0114.jpg
OBS-0115,3,6,4,2024-10-19,17:30,Pump coupling guard missing during active equipment operation,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,Low,2,0,IMG_0115.jpg
OBS-0116,8,17,10,2024-11-22,07:53,Emergency assembly point signage obscured by stored materials,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Logged during scheduled safety walk,Low,2,0,IMG_0116.jpg
OBS-0117,6,12,3,2024-12-02,06:45,Temporary cable crossing walkway without appropriate protection,Isolate circuit immediately. No re-energization until inspected and cleared by qualified electrician.,Logged during scheduled safety walk,Medium,2,0,IMG_0117.jpg
OBS-0118,1,2,1,2025-04-10,10:44,PPE not worn correctly — safety glasses missing at point of operation,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Logged during scheduled safety walk,High,3,0,IMG_0118.jpg
OBS-0119,2,4,1,2025-04-20,10:30,PPE not worn correctly — safety glasses missing at point of operation,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Logged during scheduled safety walk,Medium,1,0,IMG_0119.jpg
OBS-0120,3,6,1,2024-11-07,13:07,PPE not worn correctly — safety glasses missing at point of operation,Issue corrective notice. Re-train personnel on mandatory PPE requirements for this zone.,Reported by shift supervisor,Medium,2,0,IMG_0120.jpg
OBS-0121,7,16,2,2025-04-22,16:43,Oil spill on walkway not cleaned within acceptable timeframe,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Logged during scheduled safety walk,Low,4,0,IMG_0121.jpg
OBS-0122,8,19,5,2024-08-13,09:07,Smoke detector coverage gap identified in storage room,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Low,2,0,IMG_0122.jpg
OBS-0123,4,8,9,2025-01-11,13:58,Solid waste disposed in non-designated area near bund,Contain and isolate. Initiate environmental incident protocol and report to HSE officer.,Reported by shift supervisor,Critical,4,1,IMG_0123.jpg
OBS-0124,5,10,10,2025-05-14,06:39,Emergency assembly point signage obscured by stored materials,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Reported by shift supervisor,Medium,4,0,IMG_0124.jpg
OBS-0125,3,7,4,2024-11-13,16:05,Pressure relief valve past scheduled inspection date,Raise work order for immediate inspection. Take equipment out of service if required.,Logged during scheduled safety walk,Low,3,0,IMG_0125.jpg
OBS-0126,8,18,2,2024-09-19,06:26,Tools left unsecured on elevated platform above active work area,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Logged during scheduled safety walk,Medium,2,0,IMG_0126.jpg
OBS-0127,7,16,5,2024-07-17,09:18,Hot work permit expired before task completion,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Reported by shift supervisor,Low,2,0,IMG_0127.jpg
OBS-0128,7,15,2,2025-06-17,09:59,Tools left unsecured on elevated platform above active work area,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Reported by shift supervisor,High,2,1,IMG_0128.jpg
OBS-0129,3,7,7,2024-08-28,14:14,SDS not available at point of use for newly introduced chemical,Label and segregate immediately. Conduct chemical inventory audit for this zone.,Logged during scheduled safety walk,Low,2,0,IMG_0129.jpg
OBS-0130,2,5,2,2024-07-31,08:50,Tools left unsecured on elevated platform above active work area,Immediate cleanup required. Review and tighten housekeeping inspection schedule.,Logged during scheduled safety walk,Medium,1,0,IMG_0130.jpg
OBS-0131,8,19,5,2025-02-10,07:29,Hot work permit expired before task completion,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,Medium,4,0,IMG_0131.jpg
OBS-0132,6,13,5,2025-03-14,14:31,Smoke detector coverage gap identified in storage room,Clear obstruction immediately. Conduct full fire safety compliance walk of the unit.,Logged during scheduled safety walk,High,2,1,IMG_0132.jpg
OBS-0133,5,11,10,2024-11-06,06:05,Emergency contact list outdated on safety notice board,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Logged during scheduled safety walk,Low,2,0,IMG_0133.jpg
OBS-0134,8,19,10,2024-07-11,18:43,Emergency contact list outdated on safety notice board,Update all emergency materials. Schedule emergency preparedness drill within 30 days.,Reported by shift supervisor,Medium,2,0,IMG_0134.jpg
OBS-0135,1,2,3,2025-02-26,14:41,Temporary cable crossing walkway without appropriate protection,Isolate circuit immediately. No re-energization until inspected and cleared by qualified electrician.,Logged during scheduled safety walk,Medium,2,0,IMG_0135.jpg
